p, dataset, n, avg_t_total, avg_t_compute, avg_t_comm, avg_accuracy
1, dataset_1000.npz,200,0.775376,0.775376,0,0.86
1, dataset_5000.npz,1000,19.316144,19.316144,0,0.956
1, dataset_10000.npz,2000,76.659501,76.659501,0,0.965
1, dataset_20000.npz,4000,308.31135,308.31135,0,0.974
1, dataset_40000.npz,8000,1226.85531,1226.85531,0,0.9765
2, dataset_1000.npz,200,0.401845,0.3955,0.006345,0.846
4, dataset_1000.npz,200,0.24086,0.215621,0.025239,0.844
8, dataset_1000.npz,200,0.141709,0.120322,0.021387,0.862
16, dataset_1000.npz,200,0.111267,0.080741,0.030526,0.858
24, dataset_1000.npz,200,0.085151,0.061661,0.02349,0.848
32, dataset_1000.npz,200,0.069416,0.048387,0.021029,0.859
2, dataset_5000.npz,1000,10.438802,10.171627,0.267175,0.9498
4, dataset_5000.npz,1000,6.721956,5.754293,0.967663,0.9486
8, dataset_5000.npz,1000,3.480571,2.978676,0.501895,0.952
16, dataset_5000.npz,1000,1.940249,1.630657,0.309592,0.95
24, dataset_5000.npz,1000,1.588983,1.300891,0.288092,0.9436
32, dataset_5000.npz,1000,1.286479,1.060536,0.225943,0.9446
2, dataset_10000.npz,2000,41.199584,39.882889,1.316695,0.9634
4, dataset_10000.npz,2000,24.252337,21.678429,2.573908,0.964
8, dataset_10000.npz,2000,14.374974,12.166943,2.208031,0.9648
16, dataset_10000.npz,2000,7.655309,6.479346,1.175963,0.9626
24, dataset_10000.npz,2000,6.27453,5.193938,1.080592,0.9641
32, dataset_10000.npz,2000,5.276931,4.312726,0.964205,0.9629
2, dataset_20000.npz,4000,160.380962,157.582778,2.798184,0.9763
4, dataset_20000.npz,4000,96.879885,85.91373,10.966155,0.9745
8, dataset_20000.npz,4000,56.861706,47.96945,8.892256,0.9736
16, dataset_20000.npz,4000,30.099842,25.618247,4.481595,0.9761
24, dataset_20000.npz,4000,25.127113,20.739391,4.387722,0.9754
32, dataset_20000.npz,4000,18.243887,15.813475,2.430412,0.9743
2, dataset_40000.npz,8000,624.407863,621.763301,2.644562,0.976
4, dataset_40000.npz,8000,436.690219,367.188098,69.502121,0.9765
8, dataset_40000.npz,8000,247.403809,200.213785,47.190024,0.9769
16, dataset_40000.npz,8000,131.985859,108.289312,23.696547,0.977
24, dataset_40000.npz,8000,101.010422,83.046322,17.9641,0.9776
32,dataset_40000.npz,8000,82.230455,67.555334,14.675121,0.9794
8,dataset_100000.npz,20000,1106.02393,1046.749193,59.274737,0.99
16,dataset_100000.npz,20000,772.992092,644.364318,128.627774,0.9907
24,dataset_100000.npz,20000,664.295857,531.772101,132.523756,0.99
32,dataset_100000.npz,20000,518.140831,426.572369,91.568462,0.9908
